CSDUID,CSDNAME,Type,Price,Location,Bedrooms,Bathrooms,Hydro,Heat,Water,Size,Agreement Type,Population,location
3532038,East Zorra-Tavistock,2,2775,"43.3239161,-80.8339245",4,2.5,0,0,0,2009,1,8270,"43.31908376, -80.83917752"
3532042,Woodstock,2,2900,"43.1621907,-80.7514881",4,2.5,0,0,0,2500,1,49236,"43.12995893, -80.75260207"
3534010,Malahide,2,2250,"42.7794749,-81.0329548",3,1.5,1,1,1,1800,1,10207,"42.7710963, -80.9682813"
3534011,Aylmer,1,1000,"42.7769012,-80.9866757",1,1,1,1,1,800,1,8274,"42.77286835, -80.97801581"
3534020,Central Elgin,2,1500,"42.7961838,-81.2035117",2,1,1,1,1,1200,2,13969,"42.73878874, -81.19297157"
3534021,St. Thomas,2,3200,"42.8072076,-81.1640691",4,2.5,0,0,0,2400,1,44552,"42.77959605, -81.19344148"
3534024,Southwold,2,3100,"42.7944119,-81.2849169",4,2.5,0,0,0,2450,1,4990,"42.76901044, -81.23754879"
3534042,West Elgin,6,1900,"42.603779,-81.606653",3,1,0,1,1,1800,1,5215,"42.6486067, -81.74992014"
3536020,Chatham-Kent,2,2000,"42.5962356,-82.4007131",3,1,0,0,0,1033,2,108689,"42.41444853, -82.18305125"
3537003,Leamington,1,1500,"42.0539832,-82.5992061",1,1,1,1,1,600,1,30019,"42.05267205, -82.59754225"
3537013,Kingsville,5,2300,"42.0481394,-82.7347774",3,2,0,0,0,1136.65079,1,23968,"42.03996314, -82.73671029"
3537016,Essex,1,1100,"42.1768449,-82.8244352",1,1,0,0,0,600,1,21823,"42.16099956, -82.82474203"
3537028,Amherstburg,5,2200,"42.1322711,-83.0916627",2,2,0,0,1,1250,1,23854,"42.10448713, -83.10021441"
3537034,LaSalle,2,2300,"42.2526733,-83.0695261",4,2,0,0,0,1100,1,34023,"42.24665886, -83.0347155"
3537039,Windsor,1,1549,"42.3420381,-82.9395971",1,1,0,1,1,1136.65079,1,236789,"42.31669177, -83.0061887"
3537048,Tecumseh,2,2400,"42.3231897,-82.8927146",3,2,1,1,1,1800,1,23880,"42.3064019, -82.8920717"
3537064,Lakeshore,2,1600,"42.309258,-82.5523849",3.5,2,0,0,0,1400,1,41450,"42.30451789, -82.54951356"
3538019,Petrolia,1,1450,"42.8848176,-82.1493924",2,1,0,0,1,900,1,6129,"42.88016952, -82.14880159"
3538030,Sarnia,2,2895,"43.027885,-82.261364",4,3,0,0,0,1136.65079,1,75268,"42.97632532, -82.36144406"
3538031,Point Edward,3,1800,"43.0003448,-82.4131423",2,1,1,1,1,900,1,2019,"42.98622632, -82.40496907"
3538035,Plympton-Wyoming,2,3000,"42.9797265,-82.1180045",4.5,2.5,0,0,0,1000,1,8850,"42.98009854, -82.11885909"
3538040,Lambton Shores,4,2000,"43.3130397,-81.7562242",3,1.5,0,0,0,1450,1,11561,"43.16243938, -81.85244972"
3539015,Strathroy-Caradoc,1,1295,"42.9655837,-81.6251721",2,1,0,1,1,1136.65079,1,24081,"42.95827325, -81.64931664"
3539033,Middlesex Centre,1,1800,"43.0645127,-81.4059186",1,1,1,1,1,1136.65079,1,20050,"42.95867137, -81.43757387"
3539036,London,2,2200,"43.0552707,-81.2334032",2,1,0,0,0,1100,1,448051,"42.97690648, -81.23850631"
3539041,North Middlesex,2,4500,"43.2148319,-81.7160897",4,3,0,0,0,2000,1,6741,"43.15701009, -81.68166257"
3539060,Lucan Biddulph,1,1399,"43.1879263,-81.4052746",2,1,0,1,1,1136.65079,1,5832,"43.1547019, -81.39943458"
3540005,South Huron,1,1095,"43.3477169,-81.4841877",2,1,0,0,1,1136.65079,1,10847,"43.34653763, -81.47441712"
3540010,Bluewater,1,1595,"43.4336018,-81.5053346",3,1.5,0,0,1,1000,1,8034,"43.41978964, -81.63774028"
3540025,Central Huron,1,2200,"43.6172804,-81.5393953",2.5,2,0,1,1,2000,1,8184,"43.62179308, -81.54961967"
3540028,Goderich,1,1340,"43.7363519,-81.7069893",1,1,0,0,0,650,1,8454,"43.75029339, -81.70601993"
3540040,Huron East,1,1050,"43.7444279,-81.2498314",1,1,0,1,1,500,1,9850,"43.55055027, -81.38675221"
